bus,load_mw,datetime,day_index,hour_index
192,19.946275761854352,2019-07-01 03:00:00,1,4.0
193,30.388738342823785,2019-07-01 03:00:00,1,4.0
197,5.046521875951669,2019-07-01 03:00:00,1,4.0
198,3.749596955222142,2019-07-01 03:00:00,1,4.0
199,7.920291926533326,2019-07-01 03:00:00,1,4.0
1,6.016425304550333,2019-07-01 04:00:00,1,5.0
3,1.600743236967732,2019-07-01 04:00:00,1,5.0
5,6.641777247916146,2019-07-01 04:00:00,1,5.0
7,20.38128905473284,2019-07-01 04:00:00,1,5.0
9,40.503338478931056,2019-07-01 04:00:00,1,5.0
11,0.28389354792373783,2019-07-01 04:00:00,1,5.0
12,2.2557915206893067,2019-07-01 04:00:00,1,5.0
15,40.42234505530241,2019-07-01 04:00:00,1,5.0
17,0.6271706787013905,2019-07-01 04:00:00,1,5.0
18,0.6426621363925142,2019-07-01 04:00:00,1,5.0
19,1.0666286974838264,2019-07-01 04:00:00,1,5.0
20,3.9778786449685084,2019-07-01 04:00:00,1,5.0
22,1.2040987777329524,2019-07-01 04:00:00,1,5.0
23,1.9904833201615997,2019-07-01 04:00:00,1,5.0
25,1.1508368215379514,2019-07-01 04:00:00,1,5.0
27,1.9560319735010083,2019-07-01 04:00:00,1,5.0
29,49.817319064175685,2019-07-01 04:00:00,1,5.0
31,0.43574231522345364,2019-07-01 04:00:00,1,5.0
32,5.400871115630502,2019-07-01 04:00:00,1,5.0
34,17.28073897058616,2019-07-01 04:00:00,1,5.0
36,3.406033119539433,2019-07-01 04:00:00,1,5.0
37,28.587186798434455,2019-07-01 04:00:00,1,5.0
38,7.196812663073303,2019-07-01 04:00:00,1,5.0
39,1.9670228349274854,2019-07-01 04:00:00,1,5.0
40,36.31234241850965,2019-07-01 04:00:00,1,5.0
41,10.217179368712282,2019-07-01 04:00:00,1,5.0
42,1.8930761663272955,2019-07-01 04:00:00,1,5.0
43,3.332490726495382,2019-07-01 04:00:00,1,5.0
45,5.6546062973638715,2019-07-01 04:00:00,1,5.0
46,1.4826409157903668,2019-07-01 04:00:00,1,5.0
47,1.5020592624870042,2019-07-01 04:00:00,1,5.0
53,2.4789090461852115,2019-07-01 04:00:00,1,5.0
55,1.081658858288406,2019-07-01 04:00:00,1,5.0
56,2.5204064406368305,2019-07-01 04:00:00,1,5.0
57,3.7482198560990745,2019-07-01 04:00:00,1,5.0
58,4.27245090843395,2019-07-01 04:00:00,1,5.0
59,3.3385904594088287,2019-07-01 04:00:00,1,5.0
60,19.453010901414803,2019-07-01 04:00:00,1,5.0
61,17.63491636875511,2019-07-01 04:00:00,1,5.0
62,7.590103683733373,2019-07-01 04:00:00,1,5.0
73,15.358540804440917,2019-07-01 04:00:00,1,5.0
74,3.1136225699344084,2019-07-01 04:00:00,1,5.0
