,datetime,Plant Name,Fuel Type,Cooling Type,Withdrawal [L/h],Consumption [L/h]
4364,2019-07-01 21:00:00,Plant 13,ng,RI,211966.7918399465,169850.63347195723
4365,2019-07-01 22:00:00,Plant 13,ng,RI,213267.9799309901,170891.58394479207
4366,2019-07-01 23:00:00,Plant 13,ng,RI,211966.7918399465,169850.63347195723
4344,2019-07-01 01:00:00,Plant 15,coal,OC,670534.8820007646,15437.148820007647
4345,2019-07-01 02:00:00,Plant 15,coal,OC,638097.8779811194,15112.778779811191
4346,2019-07-01 03:00:00,Plant 15,coal,OC,644328.352020536,15175.083520205364
4347,2019-07-01 04:00:00,Plant 15,coal,OC,763953.453577343,16371.334535773432
4348,2019-07-01 05:00:00,Plant 15,coal,OC,670534.8820007646,15437.148820007647
4349,2019-07-01 06:00:00,Plant 15,coal,OC,638097.8779811194,15112.778779811191
4350,2019-07-01 07:00:00,Plant 15,coal,OC,625996.3803276361,14991.763803276363
4351,2019-07-01 08:00:00,Plant 15,coal,OC,638097.8779811194,15112.778779811191
4352,2019-07-01 09:00:00,Plant 15,coal,OC,650683.4355407417,15238.634355407417
4353,2019-07-01 10:00:00,Plant 15,coal,OC,614351.5429629637,14875.315429629636
4354,2019-07-01 11:00:00,Plant 15,coal,OC,592332.2141279469,14655.12214127947
4355,2019-07-01 12:00:00,Plant 15,coal,OC,677427.745354939,15506.07745354939
4356,2019-07-01 13:00:00,Plant 15,coal,OC,782149.440410532,16553.29440410532
4357,2019-07-01 14:00:00,Plant 15,coal,OC,831721.8404368481,17049.018404368482
4358,2019-07-01 15:00:00,Plant 15,coal,OC,811149.2944259266,16843.29294425927
4359,2019-07-01 16:00:00,Plant 15,coal,OC,966825.1276727488,18400.05127672749
4360,2019-07-01 17:00:00,Plant 15,coal,OC,1501525.6640482359,23747.056640482355
4361,2019-07-01 18:00:00,Plant 15,coal,OC,2477525.521310543,33507.055213105436
4362,2019-07-01 19:00:00,Plant 15,coal,OC,3784487.2678867164,46576.67267886716
4363,2019-07-01 20:00:00,Plant 15,coal,OC,6427454.355407413,73006.34355407415
4364,2019-07-01 21:00:00,Plant 15,coal,OC,64195163.554073244,650683.4355407323
4365,2019-07-01 22:00:00,Plant 15,coal,OC,-16037765.888518596,-151645.85888518594
4366,2019-07-01 23:00:00,Plant 15,coal,OC,64195163.554073244,650683.4355407323
4344,2019-07-01 01:00:00,Plant 16,nuclear,RC,1828029.2687838366,1463561.7150270694
4345,2019-07-01 02:00:00,Plant 16,nuclear,RC,1820352.348413354,1457420.178730683
4346,2019-07-01 03:00:00,Plant 16,nuclear,RC,1821872.617274298,1458636.3938194383
4347,2019-07-01 04:00:00,Plant 16,nuclear,RC,1847244.6172581895,1478933.9938065514
4348,2019-07-01 05:00:00,Plant 16,nuclear,RC,1828029.2687838366,1463561.7150270694
4349,2019-07-01 06:00:00,Plant 16,nuclear,RC,1820352.348413354,1457420.178730683
4350,2019-07-01 07:00:00,Plant 16,nuclear,RC,1817334.2279119273,1455005.682329542
4351,2019-07-01 08:00:00,Plant 16,nuclear,RC,1820352.348413354,1457420.178730683
4352,2019-07-01 09:00:00,Plant 16,nuclear,RC,1823400.4072276377,1459858.6257821098
4353,2019-07-01 10:00:00,Plant 16,nuclear,RC,1814345.753609911,1452614.9028879288
4354,2019-07-01 11:00:00,Plant 16,nuclear,RC,1808456.5751503175,1447903.5601202538
4355,2019-07-01 12:00:00,Plant 16,nuclear,RC,1829587.5082485662,1464808.3065988533
