datetime,air_temperature
2015-07-15,21.541666666666668
2015-07-16,24.416666666666668
2015-07-17,27.125
2015-07-18,26.375
2015-07-19,25.5
2015-07-20,23.75
2015-07-21,21.708333333333332
2015-07-22,21.541666666666668
2015-07-23,22.5
2015-07-24,22.958333333333332
2015-07-25,24.416666666666668
2015-07-26,24.708333333333332
2015-07-27,25.541666666666668
2015-07-28,26.166666666666668
2015-07-29,23.708333333333332
2015-07-30,22.583333333333332
2015-07-31,23.458333333333332
2015-08-01,23.0
2015-08-02,24.541666666666668
2015-08-03,23.291666666666668
2015-08-04,21.416666666666668
2015-08-05,22.083333333333332
2015-08-06,21.416666666666668
2015-08-07,22.0
2015-08-08,24.541666666666668
2015-08-09,23.666666666666668
2015-08-10,24.125
2015-08-11,22.0
2015-08-12,21.875
2015-08-13,22.375
