datetime,water_temperature
2015-07-03,21.902250260449144
2015-07-04,22.839414368169987
2015-07-05,23.745012184474504
2015-07-06,25.501140289264306
2015-07-07,21.430524092380946
2015-07-08,17.57625768068024
2015-07-09,20.73958555001493
2015-07-10,21.707363850694296
2015-07-11,24.818867140645175
2015-07-12,26.456646377912374
2015-07-13,27.108565031680445
2015-07-14,26.24380168811863
2015-07-15,23.336010151939508
2015-07-16,25.473950634368713
2015-07-17,27.026615368995124
2015-07-18,26.639035580188917
2015-07-19,26.146563154936143
2015-07-20,25.024301330396504
2015-07-21,23.474065972578202
2015-07-22,23.336010151939508
2015-07-23,24.10623630817166
2015-07-24,24.45426873074112
2015-07-25,25.473950634368713
2015-07-26,25.66204080336848
2015-07-27,26.17102636031568
2015-07-28,26.5257864169379
2015-07-29,24.995279665605803
