datetime,water_flow
2016-08-12,134485.1021875
2016-08-13,417944.1715625
2016-08-14,475047.17187500006
2016-08-15,386261.578125
2016-08-16,361947.3040625
2016-08-17,557520.4343750001
2016-08-18,665390.5062500001
2016-08-19,722083.5
2016-08-20,763438.11875
2016-08-21,884729.26875
2016-08-22,970152.2187499999
2016-08-23,905465.571875
2016-08-24,810190.665625
2016-08-25,808037.39375
2016-08-26,864700.890625
2016-08-27,887737.95
2016-08-28,1029499.93125
2016-08-29,1213855.4
2016-08-30,1303378.415625
2016-08-31,1341842.3406250002
2016-09-01,1159433.665625
2016-09-02,944578.428125
2016-09-03,791017.696875
2016-09-04,684504.4812500001
2016-09-05,569083.209375
2016-09-06,498910.14375
2016-09-07,446081.240625
2016-09-08,537728.03125
2016-09-09,737244.89375
2016-09-10,863521.015625
2016-09-11,964960.76875
2016-09-12,933900.5593750001
2016-09-13,832667.2843749999
2016-09-14,742524.834375
2016-09-15,663886.165625
2016-09-16,567519.875
2016-09-17,568640.75625
2016-09-18,527138.653125
2016-09-19,495842.46875000006
2016-09-20,479265.225
2016-09-21,409835.480625
2016-09-22,423073.678125
2016-09-23,403782.721875
2016-09-24,366498.671875
2016-09-25,336007.7521875
2016-09-26,330039.10610526317
2016-09-27,272713.3578125
2016-09-28,219312.2153125
2016-09-29,282462.075
2016-09-30,297328.5
2016-10-01,277155.5871875
2016-10-02,373666.41250000003
2016-10-03,423280.15625
2016-10-04,420713.928125
2016-10-05,393075.35625
2016-10-06,394550.2
2016-10-07,566487.484375
2016-10-08,702114.1156250001
2016-10-09,617959.53125
2016-10-10,515428.39375
2016-10-11,450328.790625
2016-10-12,409505.11562500003
2016-10-13,407764.8
2016-10-14,379093.8375
2016-10-15,309274.734375
2016-10-16,323182.51093750005
2016-10-17,284243.68624999997
2016-10-18,425079.465625
2016-10-19,385966.609375
2016-10-20,376114.653125
2016-10-21,342635.7
2016-10-22,322802.00125000003
2016-10-23,312675.7240625
2016-10-24,300086.4578125
2016-10-25,270105.83406250004
2016-10-26,302549.446875
2016-10-27,371336.159375
2016-10-28,413310.2125
2016-10-29,465342.69999999995
2016-10-30,448883.44375000003
2016-10-31,396172.528125
2016-11-01,386763.025
2016-11-02,365318.796875
2016-11-03,429386.00937499997
2016-11-04,566281.0062500001
2016-11-05,557048.484375
2016-11-06,502803.73125
2016-11-07,477790.38125000003
2016-11-08,445550.296875
2016-11-09,406201.465625
2016-11-10,340343.7928125
2016-11-11,351298.9321875
2016-11-12,313916.30052631575
2016-11-13,291653.30125
2016-11-14,304499.1903125
2016-11-15,299514.2184375
2016-11-16,278179.12875
2016-11-17,231394.1353125
2016-11-18,256616.913125
2016-11-19,317436.51968749997
2016-11-20,280954.78468750004
2016-11-21,261407.20562500003
2016-11-22,220744.4283157895
2016-11-23,254879.5471875
2016-11-24,255640.5665625
2016-11-25,323153.0140625
2016-11-26,338659.52125
2016-11-27,338234.76625000004
2016-11-28,347998.231875
2016-11-29,546193.634375
2016-11-30,763202.1437499999
2016-12-01,788244.990625
2016-12-02,706822.1273684211
2016-12-03,613446.509375
2016-12-04,555986.596875
2016-12-05,515369.4
2016-12-06,506785.809375
2016-12-07,474604.71875000006
2016-12-08,471330.56562500005
2016-12-09,447231.61875
2016-12-10,409829.58125
2016-12-11,391299.644375
2016-12-12,344543.37157894735
2016-12-13,352310.675
2016-12-14,304003.6428125
2016-12-15,217961.25843750002
2016-12-16,232851.2809375
2016-12-17,
2016-12-18,
2016-12-19,
2016-12-20,
2016-12-21,
2016-12-22,
2016-12-23,267277.08375
2016-12-24,270356.5575
2016-12-25,265173.9565625
2016-12-26,345635.5321875
2016-12-27,566074.528125
2016-12-28,722201.4875
2016-12-29,722230.984375
2016-12-30,641216.1094736842
2016-12-31,586102.90625
2017-01-01,533999.0052631579
2017-01-02,498851.15
2017-01-03,491742.403125
2017-01-04,462569.99374999997
2017-01-05,499382.09375000006
2017-01-06,431568.778125
2017-01-07,366439.678125
2017-01-08,
2017-01-09,
2017-01-10,
2017-01-11,
2017-01-12,454074.89375
2017-01-13,479589.690625
2017-01-14,555632.634375
2017-01-15,570322.078125
2017-01-16,525162.3624999999
2017-01-17,732554.890625
2017-01-18,1051829.065625
2017-01-19,1071267.50625
2017-01-20,1019942.94375
2017-01-21,1190729.85
2017-01-22,1362932.60625
2017-01-23,1337447.30625
2017-01-24,1212832.0136842106
2017-01-25,1100025.0765957448
2017-01-26,1050796.675
2017-01-27,941522.7703703704
2017-01-28,801371.1
2017-01-29,722083.5
2017-01-30,639964.2
2017-01-31,658882.3659574469
2017-02-01,629631.5074468085
2017-02-02,567651.5242105263
2017-02-03,524719.9093749999
2017-02-04,467139.1548387097
2017-02-05,487594.6404255319
2017-02-06,447016.9819148936
2017-02-07,435575.0747368421
2017-02-08,507024.92234042555
2017-02-09,526304.5819148937
2017-02-10,487394.69340659335
2017-02-11,494884.76170212764
2017-02-12,480858.05625
2017-02-13,479914.15625000006
2017-02-14,517843.4115789473
2017-02-15,493872.8387096774
2017-02-16,465555.8387096774
2017-02-17,427825.1589473684
2017-02-18,403276.2542553192
2017-02-19,368356.97500000003
2017-02-20,301484.7048387097
2017-02-21,333376.63093750004
2017-02-22,307507.55776595743
2017-02-23,329699.30210526317
2017-02-24,342686.3725263158
2017-02-25,318238.8346875
2017-02-26,286222.2745263158
2017-02-27,331549.89574468083
2017-02-28,310869.4484042553
2017-03-01,526076.765625
2017-03-02,791068.5319148937
2017-03-03,800953.7968421052
2017-03-04,683214.6915789474
2017-03-05,595814.0387096774
2017-03-06,505517.44375
2017-03-07,593673.3568421053
2017-03-08,532477.5875
2017-03-09,540264.7625000001
2017-03-10,471035.596875
2017-03-11,434459.47187500005
2017-03-12,397823.7255319149
2017-03-13,380539.184375
2017-03-14,370565.20421052637
2017-03-15,306747.62842105265
2017-03-16,285827.66843749996
2017-03-17,299340.18687499996
2017-03-18,299864.71826086956
2017-03-19,277141.2193548387
2017-03-20,359566.90625
2017-03-21,428731.42978723405
2017-03-22,427557.203125
2017-03-23,402012.909375
2017-03-24,398768.253125
2017-03-25,452177.7789473684
2017-03-26,476023.6736842105
2017-03-27,539851.80625
2017-03-28,533863.940625
2017-03-29,514087.68315789476
2017-03-30,647565.0789473684
2017-03-31,1107620.977419355
2017-04-01,1451423.23125
2017-04-02,1579321.68125
2017-04-03,1386549.3568421053
2017-04-04,1233706.796875
2017-04-05,1229488.74375
2017-04-06,1333671.085263158
2017-04-07,1698135.09375
2017-04-08,1798837.425
2017-04-09,1624245.421875
2017-04-10,1512127.8
2017-04-11,1389922.246875
2017-04-12,1230019.6875
2017-04-13,1175184.996875
2017-04-14,1052458.5414893618
2017-04-15,955934.7250000001
2017-04-16,1001259.312631579
2017-04-17,984074.74375
2017-04-18,941717.23125
2017-04-19,917972.246875
2017-04-20,835351.5
2017-04-21,780811.778125
2017-04-22,720563.3242105263
2017-04-23,651880.9375
2017-04-24,615186.825
2017-04-25,567519.875
2017-04-26,577666.8
2017-04-27,558582.321875
2017-04-28,554139.5904255318
2017-04-29,603450.1736842105
2017-04-30,1277450.6625
2017-05-01,1909008.253125
2017-05-02,2487412.475
2017-05-03,2387624.546875
2017-05-04,1988679.3125000002
2017-05-05,1691114.8375000001
2017-05-06,1498382.25625
2017-05-07,1402546.909375
2017-05-08,1349747.503125
2017-05-09,1322728.365625
2017-05-10,1376766.640625
2017-05-11,1515932.896875
2017-05-12,1643890.340625
2017-05-13,1558496.8875
2017-05-14,1375055.821875
2017-05-15,1192754.6677419355
2017-05-16,1045660.904494382
2017-05-17,853344.59375
2017-05-18,1026255.2749999999
2017-05-19,878711.90625
2017-05-20,752140.8156249999
2017-05-21,753871.6161290323
2017-05-22,703364.4726315789
2017-05-23,744647.6778947368
2017-05-24,750400.5
2017-05-25,760475.3905263158
2017-05-26,761520.821875
2017-05-27,753851.634375
2017-05-28,762114.7957894737
2017-05-29,770885.1382978724
2017-05-30,742839.2585106384
2017-05-31,695890.275
2017-06-01,613476.00625
2017-06-02,592208.759375
2017-06-03,545981.567368421
2017-06-04,513260.68723404256
2017-06-05,501843.5138297872
2017-06-06,449524.92315789475
2017-06-07,416051.24842105265
2017-06-08,396944.7252631579
2017-06-09,372458.9234042553
2017-06-10,330322.27610526315
2017-06-11,340355.5915625
2017-06-12,337389.60315789474
2017-06-13,297723.1305319149
2017-06-14,321687.01937500003
2017-06-15,368008.911875
2017-06-16,532123.625
2017-06-17,659488.0263157894
2017-06-18,733262.815625
2017-06-19,833785.0276595744
2017-06-20,919919.040625
2017-06-21,843695.9776595745
2017-06-22,709713.4421052632
2017-06-23,670463.96875
2017-06-24,624911.4789473685
2017-06-25,610063.8838709678
2017-06-26,529021.174736842
2017-06-27,448809.5463157895
2017-06-28,365852.5951612903
2017-06-29,453132.2489361702
2017-06-30,434872.428125
2017-07-01,431423.19677419355
2017-07-02,463193.82127659576
2017-07-03,477369.8129032259
2017-07-04,427648.2586956522
2017-07-05,412179.8161290323
2017-07-06,364837.43297872343
2017-07-07,365021.19223404257
2017-07-08,328270.72187500005
2017-07-09,268859.48242105264
2017-07-10,291557.7934736842
2017-07-11,310956.05625
2017-07-12,315802.3928125
2017-07-13,471861.509375
2017-07-14,589790.015625
2017-07-15,646643.3184782609
2017-07-16,668823.4404255319
2017-07-17,670129.2568421053
2017-07-18,639219.0157894737
2017-07-19,621712.0467391304
2017-07-20,614905.1774193549
2017-07-21,718012.93125
2017-07-22,910951.9906250001
2017-07-23,1311372.0687499999
2017-07-24,1395730.0263157894
2017-07-25,1413578.7406249999
2017-07-26,1272297.7136842106
2017-07-27,1110364.972826087
2017-07-28,1001736.2305263159
2017-07-29,926206.8957446809
2017-07-30,807305.620212766
2017-07-31,705540.4105263158
2017-08-01,629703.093548387
2017-08-02,577968.044680851
2017-08-03,524867.39375
2017-08-04,522212.67500000005
2017-08-05,529984.6258064517
2017-08-06,475194.65625
2017-08-07,451626.653125
2017-08-08,391316.84042553196
2017-08-09,355847.2551612903
2017-08-10,312191.77866666665
2017-08-11,259137.48521739128
2017-08-12,207474.52280898875
2017-08-13,210102.59494382024
2017-08-14,192234.08406249998
2017-08-15,190277.92826086955
2017-08-16,109097.65108421052
2017-08-17,173053.01936170214
2017-08-18,152758.16521276598
2017-08-19,162250.18648351647
2017-08-20,167898.26445652175
2017-08-21,139369.78468749998
2017-08-22,199167.00391304347
2017-08-23,181919.026875
2017-08-24,215967.36483870968
2017-08-25,198158.75106382978
2017-08-26,212392.88967391304
2017-08-27,190202.14266666665
2017-08-28,181978.020625
2017-08-29,139726.696875
2017-08-30,166500.94755319148
2017-08-31,164050.81357894736
2017-09-01,149148.37935483872
2017-09-02,116606.91659340661
2017-09-03,121748.19631578948
2017-09-04,118691.79461538463
2017-09-05,129285.17968085107
2017-09-06,105719.84483870967
2017-09-07,97617.52903225807
2017-09-08,105663.31233333334
2017-09-09,90398.94456521739
2017-09-10,80626.50163043478
2017-09-11,127794.92548387097
2017-09-12,108329.27161290322
2017-09-13,92364.09252631578
2017-09-14,112250.3578125
2017-09-15,87046.458
2017-09-16,102186.0240625
2017-09-17,105908.6579347826
2017-09-18,128140.44989361703
2017-09-19,136457.49161290322
2017-09-20,114822.42255319149
2017-09-21,135321.40271739132
2017-09-22,112258.43739130435
2017-09-23,141178.14655172412
2017-09-24,132931.851627907
2017-09-25,130295.5410989011
2017-09-26,122117.0625
