datetime,air_temperature,water_temperature
2019-06-05,25.320833333333336,21.566666666666666
2019-06-06,23.837500000000002,22.212500000000002
2019-06-07,24.579166666666666,22.525000000000002
2019-06-08,22.77916666666667,22.854166666666668
2019-06-09,22.829166666666666,23.2
2019-06-10,21.65833333333333,22.991666666666664
2019-06-11,19.587500000000002,22.8125
2019-06-12,19.870833333333334,22.558333333333334
2019-06-13,15.450000000000001,21.429166666666664
2019-06-14,16.483333333333334,21.258333333333333
2019-06-15,18.266666666666666,20.8625
2019-06-16,21.579166666666666,21.05
2019-06-17,19.354166666666668,20.8
2019-06-18,21.179166666666667,21.041666666666668
2019-06-19,21.645833333333332,21.116666666666667
2019-06-20,19.029166666666665,21.108333333333334
2019-06-21,18.625,21.220833333333335
2019-06-22,20.770833333333332,20.925
