datetime,water_discharge
2018-02-03,8370.736842105263
2018-02-04,10415.0
2018-02-05,6466.631578947368
2018-02-06,5278.736842105263
2018-02-07,6900.625
2018-02-08,6235.9375
2018-02-09,6942.878787878788
2018-02-10,6920.0
2018-02-11,7333.333333333333
2018-02-12,6800.0
2018-02-13,7140.0
2018-02-14,8924.318181818182
2018-02-15,9846.842105263158
2018-02-16,11352.043010752688
2018-02-17,12795.744680851063
2018-02-18,13438.947368421053
2018-02-19,15334.375
2018-02-20,33614.583333333336
2018-02-21,63384.375
2018-02-22,99321.875
2018-02-23,105590.625
2018-02-24,94484.375
2018-02-25,83208.33333333333
2018-02-26,75656.25
2018-02-27,67568.75
2018-02-28,63505.208333333336
2018-03-01,58369.791666666664
2018-03-02,54073.958333333336
2018-03-03,52955.78947368421
2018-03-04,51370.833333333336
2018-03-05,49312.5
2018-03-06,46914.583333333336
2018-03-07,43937.5
2018-03-08,39868.75
2018-03-09,34897.916666666664
2018-03-10,32551.041666666668
2018-03-11,30610.526315789473
2018-03-12,29004.21052631579
2018-03-13,27442.105263157893
2018-03-14,24162.105263157893
2018-03-15,24448.958333333332
2018-03-16,23306.25
2018-03-17,21835.106382978724
2018-03-18,20922.916666666668
2018-03-19,21417.021276595744
2018-03-20,19385.106382978724
2018-03-21,17978.947368421053
2018-03-22,17392.55319148936
2018-03-23,17588.541666666668
2018-03-24,16667.708333333332
2018-03-25,15746.236559139785
2018-03-26,15821.052631578947
2018-03-27,16272.916666666666
2018-03-28,17873.684210526317
2018-03-29,19764.893617021276
2018-03-30,19967.021276595744
2018-03-31,18909.375
2018-04-01,19049.473684210527
2018-04-02,17106.315789473683
2018-04-03,17004.21052631579
2018-04-04,16277.659574468085
2018-04-05,15460.0
2018-04-06,16275.78947368421
2018-04-07,15737.234042553191
2018-04-08,15095.744680851063
2018-04-09,14546.875
2018-04-10,14137.234042553191
2018-04-11,13571.27659574468
2018-04-12,13373.936170212766
2018-04-13,13459.673913043478
2018-04-14,14603.157894736842
2018-04-15,16157.291666666666
2018-04-16,22103.125
2018-04-17,26586.458333333332
2018-04-18,26855.78947368421
2018-04-19,25693.684210526317
2018-04-20,23552.68817204301
2018-04-21,22051.57894736842
2018-04-22,20748.936170212764
2018-04-23,19344.791666666668
2018-04-24,18453.191489361703
2018-04-25,17653.125
2018-04-26,16942.55319148936
2018-04-27,16139.583333333334
2018-04-28,16081.25
2018-04-29,14671.578947368422
2018-04-30,13460.416666666666
2018-05-01,13650.526315789473
2018-05-02,12476.041666666666
2018-05-03,13485.416666666666
2018-05-04,15915.78947368421
2018-05-05,17945.263157894737
2018-05-06,18526.315789473683
2018-05-07,17420.43010752688
2018-05-08,15798.91304347826
2018-05-09,14725.263157894737
2018-05-10,14467.368421052632
2018-05-11,14178.72340425532
2018-05-12,13661.458333333334
2018-05-13,13813.684210526315
2018-05-14,15630.526315789473
2018-05-15,18462.76595744681
2018-05-16,22123.157894736843
2018-05-17,22228.72340425532
2018-05-18,21676.842105263157
2018-05-19,20310.526315789473
2018-05-20,19155.434782608696
2018-05-21,19432.608695652172
2018-05-22,24266.315789473683
2018-05-23,26537.5
2018-05-24,25948.42105263158
2018-05-25,24217.894736842107
2018-05-26,22375.78947368421
2018-05-27,20383.333333333332
2018-05-28,18641.052631578947
2018-05-29,16933.684210526317
2018-05-30,16317.894736842105
2018-05-31,18837.362637362636
2018-06-01,21333.695652173912
2018-06-02,20013.978494623654
2018-06-03,18527.36842105263
2018-06-04,17029.787234042553
2018-06-05,16015.053763440861
2018-06-06,13762.921348314607
2018-06-07,13439.583333333334
2018-06-08,13179.569892473119
2018-06-09,12661.458333333334
2018-06-10,21142.55319148936
2018-06-11,30531.25
2018-06-12,31778.947368421053
2018-06-13,29494.68085106383
2018-06-14,27851.57894736842
2018-06-15,25117.021276595744
2018-06-16,22840.0
2018-06-17,21006.382978723403
2018-06-18,19778.125
2018-06-19,18240.0
2018-06-20,18169.473684210527
2018-06-21,21235.416666666668
2018-06-22,30769.473684210527
2018-06-23,43876.59574468085
2018-06-24,50277.083333333336
2018-06-25,48009.47368421053
2018-06-26,41127.083333333336
2018-06-27,37069.47368421053
2018-06-28,35205.37634408602
2018-06-29,32753.191489361703
2018-06-30,29701.052631578947
2018-07-01,26704.21052631579
2018-07-02,25469.791666666668
2018-07-03,22240.0
2018-07-04,21212.222222222223
2018-07-05,21214.736842105263
2018-07-06,21834.042553191488
2018-07-07,20736.458333333332
2018-07-08,19631.57894736842
2018-07-09,17361.702127659573
2018-07-10,15716.666666666666
2018-07-11,13471.875
2018-07-12,11722.765957446809
2018-07-13,10000.326086956522
2018-07-14,10354.842105263158
2018-07-15,9595.95744680851
2018-07-16,8290.752688172042
2018-07-17,8601.489361702128
2018-07-18,7296.526315789473
2018-07-19,5905.0526315789475
2018-07-20,5882.978723404255
2018-07-21,7400.421052631579
2018-07-22,7611.458333333333
2018-07-23,8641.170212765957
2018-07-24,7308.0
2018-07-25,6704.574468085107
2018-07-26,6408.315789473684
2018-07-27,5683.854166666667
2018-07-28,5371.979166666667
2018-07-29,4991.914893617021
2018-07-30,5088.645833333333
2018-07-31,4874.36170212766
2018-08-01,5276.770833333333
2018-08-02,5208.020833333333
2018-08-03,5056.914893617021
2018-08-04,3493.157894736842
2018-08-05,4066.4583333333335
2018-08-06,5397.894736842105
2018-08-07,3533.0208333333335
2018-08-08,4622.872340425532
2018-08-09,5413.0526315789475
2018-08-10,7815.591397849463
2018-08-11,7271.578947368421
2018-08-12,5544.526315789473
2018-08-13,5036.914893617021
2018-08-14,4573.263157894737
2018-08-15,4221.290322580645
2018-08-16,5961.368421052632
2018-08-17,5985.3125
