obj_name,pg,hour,day
1013,-9.999998745568829e-9,2,1
1031,-9.999998745568829e-9,2,1
1101,-9.999998745568829e-9,2,1
1019,-9.999998745568829e-9,2,1
1033,-9.999998745568829e-9,2,1
1027,-9.999998745568829e-9,2,1
1069,-9.999998745568829e-9,2,1
1059,-9.999998745568829e-9,2,1
1087,-9.999998745568829e-9,2,1
26,-8.964736362482474e-9,2,1
10,0.005932106579511405,2,1
1097,-9.999998745568829e-9,2,1
1106,-9.999998745568829e-9,2,1
24,0.014000008228169358,2,1
1071,-9.999998745568829e-9,2,1
1084,-9.999998745568829e-9,2,1
1023,-9.999998745568829e-9,2,1
1029,-9.999998745568829e-9,2,1
1050,-9.999998745568829e-9,2,1
25,1.335000011578169,2,1
23,1.548000013708169,2,1
1064,-9.999998745568829e-9,2,1
1105,-9.999998745568829e-9,2,1
49,0.6750000041282311,2,1
1072,-9.999998745568829e-9,2,1
5,-8.964736374536045e-9,2,1
1015,-9.999998745568829e-9,2,1
1099,-9.999998745568829e-9,2,1
1048,-9.999998745568829e-9,2,1
43,0.09400000736281039,2,1
31,0.9240000082281692,2,1
1093,-9.999998745568829e-9,2,1
1083,-9.999998745568829e-9,2,1
1061,-9.999998745568829e-9,2,1
1004,-9.999998745568829e-9,2,1
39,0.2600000073528823,2,1
1089,-9.999998745568829e-9,2,1
1077,-9.999998745568829e-9,2,1
1086,-9.999998745568829e-9,2,1
1102,-9.999998745568829e-9,2,1
1009,-9.999998745568829e-9,2,1
34,-8.964736363192795e-9,2,1
44,0.09400000736281039,2,1
1036,-9.999998745568829e-9,2,1
1057,-9.999998745568829e-9,2,1
1051,-9.999998745568829e-9,2,1
1046,-9.999998745568829e-9,2,1
1079,-9.999998745568829e-9,2,1
17,0.18000000735767757,2,1
37,1.3860000077697503,2,1
47,5.6915000309837795,2,1
9,0.005932138214069818,2,1
1025,-9.999998745568829e-9,2,1
12,0.0059319298314669255,2,1
20,0.06300000736466088,2,1
1030,-9.999998745568829e-9,2,1
6,0.8650000082281691,2,1
1100,-9.999998745568829e-9,2,1
1012,-9.999998745568829e-9,2,1
1044,-9.999998745568829e-9,2,1
1092,-9.999998745568829e-9,2,1
1058,-9.999998745568829e-9,2,1
1068,-9.999998745568829e-9,2,1
1080,-9.999998745568829e-9,2,1
1098,-9.999998745568829e-9,2,1
1042,-9.999998745568829e-9,2,1
1091,-9.999998745568829e-9,2,1
1096,-9.999998745568829e-9,2,1
1047,-9.999998745568829e-9,2,1
1052,-9.999998745568829e-9,2,1
14,0.04000000736605538,2,1
1076,-9.999998745568829e-9,2,1
1090,-9.999998745568829e-9,2,1
1007,-9.999998745568829e-9,2,1
1014,-9.999998745568829e-9,2,1
1010,-9.999998745568829e-9,2,1
1049,-9.999998745568829e-9,2,1
7,0.005905636996119704,2,1
1104,-9.999998745568829e-9,2,1
1065,-9.999998745568829e-9,2,1
8,0.0059322635042545055,2,1
1034,-9.999998745568829e-9,2,1
1075,-9.999998745568829e-9,2,1
1078,-9.999998745568829e-9,2,1
1021,-9.999998745568829e-9,2,1
1017,-9.999998745568829e-9,2,1
19,0.050000007365446845,2,1
1024,-9.999998745568829e-9,2,1
1018,-9.999998745568829e-9,2,1
1026,-9.999998745568829e-9,2,1
1006,-9.999998745568829e-9,2,1
1085,-9.999998745568829e-9,2,1
4,-8.964736386378804e-9,2,1
1074,-9.999998745568829e-9,2,1
1008,-9.999998745568829e-9,2,1
1041,-9.999998745568829e-9,2,1
22,0.6760000082281691,2,1
11,0.005931928721233583,2,1
35,-8.964736363192795e-9,2,1
13,0.005931622328381974,2,1
1032,-9.999998745568829e-9,2,1
1005,-9.999998745568829e-9,2,1
1055,-9.999998745568829e-9,2,1
1011,-9.999998745568829e-9,2,1
15,0.024000007367017396,2,1
1073,-9.999998745568829e-9,2,1
1107,-9.999998745568829e-9,2,1
1053,-9.999998745568829e-9,2,1
16,0.18000000735767757,2,1
1094,-9.999998745568829e-9,2,1
1045,-9.999998745568829e-9,2,1
1022,-9.999998745568829e-9,2,1
1067,-9.999998745568829e-9,2,1
40,0.09400000736281039,2,1
1095,-9.999998745568829e-9,2,1
1001,-9.999998745568829e-9,2,1
46,-8.964736365697741e-9,2,1
1028,-9.999998745568829e-9,2,1
1088,-9.999998745568829e-9,2,1
21,-8.964736367879902e-9,2,1
38,0.12000000736129039,2,1
1108,-9.999998745568829e-9,2,1
1043,-9.999998745568829e-9,2,1
45,-8.964736367792937e-9,2,1
1066,-9.999998745568829e-9,2,1
1038,-9.999998745568829e-9,2,1
1037,-9.999998745568829e-9,2,1
1003,-9.999998745568829e-9,2,1
36,-8.964736363192795e-9,2,1
1016,-9.999998745568829e-9,2,1
1082,-9.999998745568829e-9,2,1
1020,-9.999998745568829e-9,2,1
1002,-9.999998745568829e-9,2,1
18,0.03200000736650878,2,1
48,0.6750000041282311,2,1
30,0.005904612785306214,2,1
3,-8.964736386378804e-9,2,1
32,-9.004465667229277e-9,3,1
29,1.5954150721827048e-8,3,1
1,-9.004465671585628e-9,3,1
1035,-9.99999874556889e-9,3,1
1040,-9.99999874556889e-9,3,1
2,-9.004465671585628e-9,3,1
1060,-9.99999874556889e-9,3,1
41,0.0940000070643787,3,1
1081,-9.99999874556889e-9,3,1
1054,-9.99999874556889e-9,3,1
1063,-9.99999874556889e-9,3,1
1056,-9.99999874556889e-9,3,1
27,-9.004465649492011e-9,3,1
1039,-9.99999874556889e-9,3,1
42,0.0940000070643787,3,1
1062,-9.99999874556889e-9,3,1
28,-9.004465649492011e-9,3,1
1103,-9.99999874556889e-9,3,1
33,-9.004465650159252e-9,3,1
1070,-9.99999874556889e-9,3,1
1013,-9.99999874556889e-9,3,1
1031,-9.99999874556889e-9,3,1
1101,-9.99999874556889e-9,3,1
1019,-9.99999874556889e-9,3,1
