obj_name,pg,hour,day,dec_scenario,gen_scenario
38,-9.947241574122094e-9,6,1,No weights,Normal
45,0.15862626314475808,6,1,No weights,Normal
36,0.15862629573378234,6,1,No weights,Normal
48,-9.951637575711065e-9,6,1,No weights,Normal
18,-9.946480241109713e-9,6,1,No weights,Normal
30,0.15862629680478793,6,1,No weights,Normal
3,0.04530000517282611,6,1,No weights,Normal
32,0.05400000482927329,7,1,No weights,Normal
29,0.15979668440584602,7,1,No weights,Normal
1,0.04530000522216957,7,1,No weights,Normal
2,0.04530000522216957,7,1,No weights,Normal
41,-9.947018432655256e-9,7,1,No weights,Normal
27,0.1597966840565669,7,1,No weights,Normal
42,-9.947018432655256e-9,7,1,No weights,Normal
33,0.15979668330683308,7,1,No weights,Normal
28,0.15979668405710704,7,1,No weights,Normal
26,0.15979668405551534,7,1,No weights,Normal
10,0.15979667926821517,7,1,No weights,Normal
24,0.014000009988521866,7,1,No weights,Normal
25,1.3350000133385218,7,1,No weights,Normal
23,1.5480000154685218,7,1,No weights,Normal
49,-9.951632571137246e-9,7,1,No weights,Normal
5,0.09070000208289247,7,1,No weights,Normal
31,0.9240000099885219,7,1,No weights,Normal
43,-9.947018432655256e-9,7,1,No weights,Normal
39,-9.948417259139008e-9,7,1,No weights,Normal
34,0.15979668330458988,7,1,No weights,Normal
44,-9.947018432655256e-9,7,1,No weights,Normal
17,-9.947752165073471e-9,7,1,No weights,Normal
37,-9.956289527189276e-9,7,1,No weights,Normal
47,5.691500056897287,7,1,No weights,Normal
9,0.15979667927313157,7,1,No weights,Normal
12,0.15979667924429772,7,1,No weights,Normal
20,-9.946747663362318e-9,7,1,No weights,Normal
6,0.8650000099885219,7,1,No weights,Normal
14,-9.946539498039476e-9,7,1,No weights,Normal
7,0.047000005150161124,7,1,No weights,Normal
8,0.15979667928955896,7,1,No weights,Normal
19,-9.946630770283222e-9,7,1,No weights,Normal
4,0.04530000522216959,7,1,No weights,Normal
22,0.6760000099885218,7,1,No weights,Normal
11,0.15979667924412266,7,1,No weights,Normal
35,0.15979668330834595,7,1,No weights,Normal
13,0.15979667920152357,7,1,No weights,Normal
15,-9.946395437722338e-9,7,1,No weights,Normal
16,-9.947752165073471e-9,7,1,No weights,Normal
40,-9.947018432655256e-9,7,1,No weights,Normal
46,0.159796679068318,7,1,No weights,Normal
21,0.15979665671415247,7,1,No weights,Normal
38,-9.947235618340791e-9,7,1,No weights,Normal
45,0.15979664814808628,7,1,No weights,Normal
36,0.15979668330845148,7,1,No weights,Normal
48,-9.951632571137246e-9,7,1,No weights,Normal
18,-9.94647411218832e-9,7,1,No weights,Normal
30,0.15979668440590344,7,1,No weights,Normal
3,0.04530000522216959,7,1,No weights,Normal
32,0.05400000399494071,8,1,No weights,Normal
29,0.14509747967060652,8,1,No weights,Normal
1,0.04530000451844109,8,1,No weights,Normal
2,0.04530000451844109,8,1,No weights,Normal
41,-9.947093751220744e-9,8,1,No weights,Normal
27,0.14509747933168857,8,1,No weights,Normal
42,-9.947093751220744e-9,8,1,No weights,Normal
33,0.1450974786293732,8,1,No weights,Normal
28,0.1450974793321751,8,1,No weights,Normal
26,0.14509747933073694,8,1,No weights,Normal
10,0.1450974751347083,8,1,No weights,Normal
24,0.014000009988518325,8,1,No weights,Normal
25,1.3350000133385183,8,1,No weights,Normal
23,1.5480000154685183,8,1,No weights,Normal
49,-9.951695349821533e-9,8,1,No weights,Normal
5,0.09069999994354168,8,1,No weights,Normal
31,0.9240000099885184,8,1,No weights,Normal
43,-9.947093751220744e-9,8,1,No weights,Normal
39,-9.94848865574492e-9,8,1,No weights,Normal
34,0.14509747862733643,8,1,No weights,Normal
44,-9.947093751220744e-9,8,1,No weights,Normal
17,-9.947825413378735e-9,8,1,No weights,Normal
37,-9.956340805238145e-9,8,1,No weights,Normal
47,5.6915000568972784,8,1,No weights,Normal
9,0.14509747513917556,8,1,No weights,Normal
12,0.14509747511351254,8,1,No weights,Normal
20,-9.94682375319283e-9,8,1,No weights,Normal
6,0.8650000099885183,8,1,No weights,Normal
14,-9.946616183480013e-9,8,1,No weights,Normal
7,0.047000004423447275,8,1,No weights,Normal
8,0.1450974751536684,8,1,No weights,Normal
19,-9.946707194287021e-9,8,1,No weights,Normal
4,0.045300004518441114,8,1,No weights,Normal
22,0.6760000099885183,8,1,No weights,Normal
11,0.14509747511335241,8,1,No weights,Normal
35,0.14509747863074834,8,1,No weights,Normal
13,0.14509747507544693,8,1,No weights,Normal
15,-9.946472536711088e-9,8,1,No weights,Normal
16,-9.947825413378735e-9,8,1,No weights,Normal
40,-9.947093751220744e-9,8,1,No weights,Normal
46,0.1450974750150316,8,1,No weights,Normal
21,0.14509746347797858,8,1,No weights,Normal
38,-9.947310321105174e-9,8,1,No weights,Normal
45,0.14509746116673147,8,1,No weights,Normal
36,0.1450974786308369,8,1,No weights,Normal
48,-9.951695349821533e-9,8,1,No weights,Normal
18,-9.946550985191969e-9,8,1,No weights,Normal
30,0.14509747967066186,8,1,No weights,Normal
3,0.045300004518441114,8,1,No weights,Normal
32,0.05400000425435416,9,1,No weights,Normal
29,0.14921048983114854,9,1,No weights,Normal
1,0.045300004735413575,9,1,No weights,Normal
2,0.045300004735413575,9,1,No weights,Normal
