f_ENS,f_con_peak,f_con_tot,f_disvi_tot,f_emit,f_gen,f_with_peak,f_with_tot,dec_label,gen_scenario
-0.0001814399781347308,4.365213756592102e7,2.9919682005206215e8,0.0,60.12676826992149,4.846313520743281e6,5.4502008866038546e7,3.7356859489624e8,D000486,Normal
-0.0001814399781347308,4.365213755393598e7,2.991968199749408e8,0.0,60.12676833072725,4.846313522092527e6,5.450200885101246e7,3.735685947995144e8,D000487,Normal
-0.0001814399772396109,4.36521375070016e7,2.991968206480826e8,0.0,60.126768730023485,4.846313528397454e6,5.450200879225319e7,3.73568595922292e8,D000488,Normal
-0.0001814399781347308,4.365213754837314e7,2.991968199390619e8,0.0,60.1267683575759,4.846313522710347e6,5.450200884404249e7,3.7356859475454867e8,D000489,Normal
-0.0001814399772396109,4.365213746111929e7,2.991968203364558e8,0.0,60.126768931822106,4.846313533545526e6,5.450200873486068e7,3.7356859553247035e8,D000490,Normal
-0.00018143997813473015,4.167346230048298e7,2.866881499266103e8,0.0,67.72756708451581,5.050384314355484e6,5.202866481359386e7,3.579327574330913e8,D000491,Normal
-0.0001814399772396109,4.365213728163595e7,2.9919681903338873e8,0.0,60.126769740204274,4.846313554804176e6,5.4502008510454684e7,3.735685939032554e8,D000492,Normal
-0.00018143997813472999,4.167346126910758e7,2.866881462290858e8,0.0,67.72757114384524,5.050384370384119e6,5.202866322440882e7,3.5793275281225e8,D000493,Normal
-0.0001814399772396093,3.770089528191151e7,2.595956227808959e8,0.0,262.32778990987515,6.732217227404537e6,4.647557532762605e7,3.1992202719815165e8,D000494,Normal
-0.0001814399781347303,4.365213517915163e7,2.991968048534956e8,0.0,60.126769263520494,4.846313500391968e6,5.450200590627875e7,3.735685760499439e8,D000495,Normal
-0.0001814399781347303,4.365213517084479e7,2.9919680480025554e8,0.0,60.12676930986677,4.846313501352282e6,5.4502005895850904e7,3.735685759830684e8,D000496,Normal
-0.0001814399781347303,4.3652135147766046e7,2.9919680465225995e8,0.0,60.1267694275698,4.8463135039463155e6,5.450200586691476e7,3.735685757974284e8,D000497,Normal
-0.0001814399772396104,4.365213516740143e7,2.991968052049463e8,0.0,60.12676953692876,4.846313501945434e6,5.450200589153076e7,3.7356857676854455e8,D000498,Normal
-0.0001814399781347303,4.365213513374824e7,2.9919680456223595e8,0.0,60.12676949403981,4.846313505487242e6,5.450200584935538e7,3.73568575684625e8,D000499,Normal
-0.00018143997813473015,4.167346307723974e7,2.86688154761162e8,0.0,67.72756431369432,5.050384237125526e6,5.202866578401269e7,3.579327634723982e8,D000500,Normal
-0.0001814399781347303,4.365213510834377e7,2.991968043986777e8,0.0,60.12676960902185,4.846313508257068e6,5.450200581755064e7,3.7356857547981507e8,D000501,Normal
-0.00018143997813472999,4.167346192071359e7,2.866881475408211e8,0.0,67.72757051980001,5.050384350484017e6,5.202866434445348e7,3.579327544796077e8,D000502,Normal
-0.0001814399772396093,3.7700895326910436e7,2.5959562308867282e8,0.0,262.3277902522012,6.732217226254762e6,4.647557538210561e7,3.1992202757055426e8,D000503,Normal
-0.00018143997813472996,4.365213517217502e7,2.9919680485907924e8,0.0,60.12677204652091,4.846313485719862e6,5.4502005908411175e7,3.735685761158401e8,D000504,Normal
-0.00018143997902984987,4.3652135165619016e7,2.991968043777673e8,0.0,60.1267717549447,4.846313486760899e6,5.450200590018855e7,3.735685752397895e8,D000505,Normal
-0.00018143997902984987,4.365213515154211e7,2.991968042915146e8,0.0,60.12677183395779,4.846313488337919e6,5.4502005882507265e7,3.735685751313547e8,D000506,Normal
-0.00018143997902984987,4.3652135163327396e7,2.9919680436335546e8,0.0,60.12677176866511,4.846313487028921e6,5.45020058973056e7,3.735685752216592e8,D000507,Normal
-0.00018143997813472993,4.365213514543609e7,2.991968046676434e8,0.0,60.12677218891698,4.846313488820355e6,5.450200587480893e7,3.735685758830182e8,D000508,Normal
-0.00018143997723961002,4.3652135001265444e7,2.9919680411874944e8,0.0,60.12677324947439,4.8463135053882515e6,5.450200569421044e7,3.73568575467989e8,D000509,Normal
-0.00018143997723961002,4.365213513465387e7,2.991968050354088e8,0.0,60.12677257931779,4.8463134897041265e6,5.4502005861310355e7,3.735685766164422e8,D000510,Normal
-0.00018143997723961002,4.3652131906067125e7,2.983085018428056e8,0.0,60.666283356471226,4.860717856892226e6,5.450200182489412e7,3.724581976207068e8,D000511,Normal
-0.0001814399772396093,3.77008954342017e7,2.595956238211098e8,0.0,262.32779106685393,6.732217223504738e6,4.647557551200176e7,3.199220284567853e8,D000512,Normal
-0.00018143997992497003,4.365213509401181e7,2.9919680349238473e8,0.0,60.12676921457145,4.846313497561195e6,5.450200580400702e7,3.7356857374193347e8,D000513,Normal
-0.00018143997992497003,4.3652135086345874e7,2.991968034471689e8,0.0,60.12676925481159,4.846313498379873e6,5.4502005794380374e7,3.7356857368511677e8,D000514,Normal
-0.00018143997902985012,4.3652135066242784e7,2.99196803728963e8,0.0,60.12676958016415,4.846313500623098e6,5.4502005769163765e7,3.735685743173609e8,D000515,Normal
-0.00018143997992497003,4.3652135083236754e7,2.9919680342882824e8,0.0,60.12676927056218,4.846313498706103e6,5.4502005790477976e7,3.7356857366208375e8,D000516,Normal
-0.00018143997992497003,4.3652135054835066e7,2.9919680326112664e8,0.0,60.12676940391616,4.84631350162871e6,5.450200575486697e7,3.7356857345172524e8,D000517,Normal
-0.00018143997902985006,4.208460761520728e7,2.892210943324948e8,0.0,66.19069863097747,5.00888541679805e6,5.254534990720606e7,3.6109893759077007e8,D000518,Normal
-0.00018143997992497003,4.365213503556191e7,2.99196803147046e8,0.0,60.12676948745019,4.846313503580771e6,5.450200573072641e7,3.7356857330879396e8,D000519,Normal
-0.00018143997813472999,4.167346206153071e7,2.8668814842083704e8,0.0,67.72757005250185,5.050384336791772e6,5.202866452026546e7,3.5793275557805794e8,D000520,Normal
-0.0001814399772396093,3.770089534438069e7,2.5959562320807445e8,0.0,262.327790385006,6.732217225807802e6,4.647557540325657e7,3.1992202771502733e8,D000521,Normal
-0.00018143997723960977,4.365213535257066e7,2.9919680649996233e8,0.0,60.12677408679902,4.846313477585537e6,5.450200613139601e7,3.7356857842829525e8,D000522,Normal
-0.00018143997723960977,4.3652135346856415e7,2.9919680646142846e8,0.0,60.126774124413004,4.846313478316124e6,5.450200612420815e7,3.735685783797976e8,D000523,Normal
-0.00018143997723960977,4.365213533418399e7,2.991968063771681e8,0.0,60.12677420496679,4.846313479920788e6,5.4502006108281545e7,3.7356857827378947e8,D000524,Normal
-0.00018143997723960977,4.365213534469538e7,2.9919680644704264e8,0.0,60.126774138586384,4.846313478584157e6,5.45020061214907e7,3.73568578361689e8,D000525,Normal
-0.00018143997723960977,4.3652135328089364e7,2.9919680633728933e8,0.0,60.126774241202725,4.846313480622739e6,5.450200610063255e7,3.735685782236618e8,D000526,Normal
-0.00018143997723960977,4.3652135230658896e7,2.9919680567599773e8,0.0,60.12677477101915,4.846313492302811e6,5.4502005978450604e7,3.73568577394072e8,D000527,Normal
-0.00018143997723960977,4.365213531887074e7,2.991968062797062e8,0.0,60.12677429121068,4.846313481746176e6,5.450200608908917e7,3.7356857815133345e8,D000528,Normal
-0.00018143997813472972,4.365213499449262e7,2.9919680356009996e8,0.0,60.12677549485831,4.846313520283809e6,5.450200568294322e7,3.735685744659022e8,D000529,Normal
-0.0001814399772396093,3.770089548877149e7,2.5959562419284204e8,0.0,262.327791480311,6.7322172221013615e6,4.647557557806861e7,3.1992202890657246e8,D000530,Normal
-0.0001814399781347294,4.596047668243443e7,3.1548360649212795e8,0.0,78.24378562479029,4.773792908488369e6,5.72966833710491e7,3.932751403689181e8,D000531,Normal
